"","X0","X20","X40","X60","X80","X100","X120","X140","X160","X180"
"Lobe",1.7735859,1.7575649,0.116312892,-0.30060146,-0.316034147,-0.297288074,-0.686757364,-0.42821399,-0.30513877,-1.31342994
"mu2",1.2568997,1.2773123,1.101744576,0.87233423,-0.236265244,-0.713573003,-0.872563286,-1.0654847,-0.95052483,-0.66987972
"ncd",1.9445905,0.9646203,-0.038159217,0.66756005,-0.370846001,0.431185382,-0.8568576,-1.19005596,-1.06122673,-0.49081067
"RnrS",1.490491,0.7796861,1.146472038,0.91749657,-0.324815891,-0.364573716,-0.34736871,-0.99826109,-1.06088546,-1.23824087
"Aldh",0.9184477,1.3222867,0.87819362,0.17799561,0.295604425,0.218607221,0.204904568,-1.16199709,-1.37736707,-1.47667566
"IKKbeta",1.6135135,1.4133837,0.073909369,0.96931953,-0.198875068,-0.525698024,-0.389559892,-1.10591542,-0.7641529,-1.08592477
"CG3164",1.431271,0.5642726,1.46340702,0.3424821,0.042133466,-0.018261088,-0.245918306,-1.11056199,-1.1104668,-1.35835806
"Gmap",1.2182464,1.4340441,0.746259605,0.70334959,0.102239995,-0.779871564,-0.448905855,-0.41772161,-1.54562125,-1.01201949
"cindr",1.2486158,1.3974966,1.382178111,0.06319925,0.060912753,-0.609693431,-0.787363365,-0.76225207,-1.07048781,-0.92260582
"CG4239",0.8112328,0.9066121,1.461598627,0.56503574,0.066067629,0.082683164,-0.430202781,-0.43108795,-1.30863001,-1.72330926
"RhoGAP15B",1.0812348,1.2113504,1.531903929,-0.01383868,0.266606669,-0.17319968,-1.083872668,-1.07436879,-0.69602104,-1.04979498
"Hrs",0.8829483,1.4999468,0.882790495,1.07373437,-0.029269107,-0.663186624,-0.628526897,-0.77428976,-0.91592548,-1.3282221
"LRR",0.8057988,1.2922831,0.979516111,0.60086187,0.971040721,-0.862093859,-1.031589647,-0.69056909,-1.0186133,-1.04663467
"CG8777",1.6349209,1.3463537,0.50542862,0.28606514,0.522412294,-0.753501821,-0.953731252,-0.51197058,-1.10811905,-0.96785804
"Etf-QO",1.8307883,0.9017552,0.345978373,0.79056309,0.156619644,-0.270565572,-0.980349594,-1.0197768,-1.35266971,-0.40234294
"CG8613",1.3900998,1.2095178,-0.124979785,1.12057117,-0.044253601,0.154846153,-0.937043823,-1.62554418,-0.83000599,-0.31320752
"CG3386",2.0287244,1.2270246,0.316986837,0.07083262,-0.685742162,-0.844177135,-0.152638631,-0.25580517,-1.37591672,-0.32928865
"CG4080",1.6021055,1.0031869,1.253613083,-0.38807004,0.252721382,-0.261833705,-0.595917427,-0.95031742,-0.46808289,-1.44740542
"CG5059",1.2514939,1.3523748,0.641718866,0.45357344,0.174335276,0.372662592,-0.58235983,-1.27081618,-1.17721159,-1.2157712
"CG10365",2.0072039,1.4913938,-0.406467353,-0.10431352,-0.69575582,-0.498438688,-0.296058823,0.1971158,-0.47599862,-1.21868068
"CG32772",1.8878133,1.3197824,0.475475551,0.09755304,-0.124694216,-0.331585843,-0.207986652,-0.90087579,-1.21780677,-0.99767493
"Cap-G",1.8437448,1.57577,-0.52735191,0.24811543,-0.202299074,0.147185328,-0.316630786,-0.93219692,-0.74497577,-1.09136112
"whd",1.4748541,1.1771749,1.121157012,0.63059764,-0.544318406,-0.524128017,-1.321325253,-0.59200535,-0.94122429,-0.48078231
"mv",1.3099853,1.4201977,1.339755067,-0.08323503,-0.352097671,-0.83708588,-1.324613198,-0.72431919,-0.57552711,-0.17306003
"drongo",1.422254,0.5932451,0.007109488,1.6185357,-0.059687843,-0.064272156,-0.827399851,-0.48296695,-0.53552552,-1.67129194
